X_deg,Y_deg,GridCellArea,AUTO,Pop,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,CurrentMVLineDist,PlannedMVLineDist,ResidentialDemandTierCustom,IsUrban,PerCapitaDemand,Productive_demand,Productive_nodes,AgriDemand,Conflict,CommercialDemand,NumPeoplePerHH,TotalEnergyPerCell,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030
35.17489,-15.39353,4.3226,15013,3573.68425,12.47914,12.47914,0.7498,0.37894,0.37894,101.3611111,0,43.8,0,0,0,0,0,5.5,257475.8855,99,0.34091462,99,0.72094847,0.708236653,0.403188207,MG_PV2030,0.34091462
33.90547,-13.50836,4.30113,15909,2067.13797,27.33472,27.33472,2.68663,0.98911,0.98911,84.70833333,0,43.8,0,0,0,0,0,5.5,148932.6258,99,0.365559595,99,0.760845736,0.731700263,0.377144949,MG_PV2030,0.365559595
35.13595,-15.71484,4.28504,14777,4913.47474,2.1976,2.1976,1.84566,1.55091,1.55091,229.4027778,0,43.8,0,0,0,0,0,5.5,354004.7668,99,0.278906658,99,0.651442749,0.698180893,0.407145116,MG_PV2030,0.278906658
34.75598,-14.74042,4.20485,15246,2166.3976,5.42272,5.42272,4.97877,4.78798,4.78798,107.375,0,43.8,0,0,0,0,0,5.5,156084.0582,99,0.365298259,99,0.757195521,0.779465126,0.388483462,MG_PV2030,0.365298259
35.46902,-16.0091,4.20425,10473,7806.83336,2.62279,2.62279,0.95453,0.19423,0.19423,181.6388889,0,43.8,0,0,0,0,0,5.5,562464.7259,99,0.262319414,99,0.640124733,0.714102681,0.394313629,MG_PV2030,0.262319414
35.04289,-15.18911,4.16685,15108,1861.10381,17.91864,17.91864,2.51289,2.47166,2.47166,129.6111111,0,43.8,0,0,0,0,0,5.5,134088.3296,99,0.375609515,99,0.767544658,0.745945756,0.387338056,MG_PV2030,0.375609515
35.44158,-15.60052,4.14652,14849,1699.01903,24.56232,24.56232,6.51492,5.54431,5.54431,147.5416667,0,43.8,0,0,0,0,0,5.5,122410.4869,99,0.385876838,99,0.774864544,0.741756023,0.395104233,MG_PV2030,0.385876838
33.9069,-14.08768,4.13729,14378,10416.01343,1.82615,1.82615,0.36474,0.11971,0.11971,356.4184028,0,43.8,0,0,0,0,0,5.5,750450.2618,99,0.252440267,99,0.633274704,0.698180893,0.38469153,MG_PV2030,0.252440267
35.06664,-16.62237,4.12339,14395,1520.77684,7.7017,7.7017,3.05281,3.05452,3.05452,28.91666667,0,43.8,0,0,0,0,0,5.5,109568.5394,99,0.394124116,99,0.784968975,0.754325724,0.393722749,SA_PV2030,0.393722749
34.58709,-14.81915,4.11182,15219,2310.12064,5.78245,5.78245,0.68863,0.53162,0.53162,250.7291667,0,43.8,0,0,0,0,0,5.5,166438.9789,99,0.361889097,99,0.749699032,0.76019125,0.394906285,MG_PV2030,0.361889097
35.29632,-14.78026,4.1069,15230,708.37841,9.16375,9.16375,11.28064,11.243,11.243,35.67777778,0,43.8,0,0,0,0,0,5.5,51037.06584,99,0.469339569,99,0.871706883,0.76019125,0.383195403,SA_PV2030,0.383195403
35.60107,-16.07261,4.10127,9511,2236.58923,5.65064,5.65064,0.48634,0.50489,0.50489,165.8055556,0,43.8,0,0,0,0,0,5.5,161141.2067,99,0.373185074,99,0.750432836,0.722482147,0.416173677,MG_PV2030,0.373185074
34.47446,-13.60556,4.09969,15860,860.96456,14.10079,14.10079,5.03872,5.04162,5.04162,63.33333333,0,43.8,0,0,0,0,0,5.5,62030.55361,99,0.437348921,99,0.846198697,0.763543337,0.363911793,SA_PV2030,0.363911793
33.72111,-13.84122,4.09966,10480,6214.60523,2.02806,2.02806,4.37391,4.3847,4.3847,83.89285714,0,43.8,0,0,0,0,0,5.5,447748.2823,99,0.261272389,99,0.644026239,0.694828805,0.381895806,MG_PV2030,0.261272389
35.42496,-15.9147,4.09368,14654,3708.66189,12.06331,12.06331,4.25839,4.21899,4.21899,148.2222222,0,43.8,0,0,0,0,0,5.5,267200.7198,99,0.328988079,99,0.715600071,0.714102681,0.387528488,MG_PV2030,0.328988079
34.52074,-14.13523,4.08708,15547,2666.94522,1.15464,1.15464,2.19743,0.09556,0.09556,81.59722222,0,43.8,0,0,0,0,0,5.5,192147.3846,99,0.341439407,99,0.738562584,0.755163369,0.37093315,MG_PV2030,0.341439407
34.28883,-13.50333,4.07463,15902,4825.24369,4.10135,4.10135,2.27594,0.16201,0.16201,185.0347222,0,43.8,0,0,0,0,0,5.5,347647.9187,99,0.262269319,99,0.652637509,0.749297844,0.370584365,MG_PV2030,0.262269319
35.51051,-15.5597,4.05863,14877,3027.95704,27.63681,27.63681,2.28796,2.30435,2.30435,266.3611111,0,43.8,0,0,0,0,0,5.5,218157.4715,99,0.342215382,99,0.728286475,0.726672382,0.392155694,MG_PV2030,0.342215382
34.26901,-13.45159,4.05464,15934,6818.72749,3.79445,3.79445,1.4946,1.09648,1.09648,68.17460318,0,43.8,0,0,0,0,0,5.5,491273.9278,99,0.254566223,99,0.643998258,0.754325724,0.371632694,MG_PV2030,0.254566223
34.29588,-11.61298,4.04536,16003,10925.99455,1.07031,1.07031,0.54637,0.1288,0.1288,420.7708333,0,43.8,0,0,0,0,0,5.5,787193.2506,99,0.251564989,0.463087634,0.632554579,0.712426386,0.385443982,MG_PV2030,0.251564989
35.0961,-16.34838,4.01546,14447,6050.49303,17.56236,17.56236,1.20698,0.68163,0.68163,39.66666667,0,43.8,0,0,0,0,0,5.5,435924.3686,99,0.263514591,99,0.645884036,0.736728143,0.386767882,MG_PV2030,0.263514591
